country,city,line,phase,start_year,end_year,is_regional_rail,length_km,tunnel_pct,tunnel_km,num_stations,is_anglo,ppp_rate,real_cost_2023_musd,cost_per_km_2023_musd
CN,Kunming,Line 4,Line 4,2020.0,,0.0,43.5,1.0,43.5,26.0,0.0,0.239,8526.322764318365,196.0074198693877
CN,Kunming,Line 5,Line 5,2020.0,,0.0,26.45,1.0,26.45,22.0,0.0,0.239,6428.9295267357265,243.05971745692727
CN,Kunming,Line 6,Line 6,2020.0,,0.0,25.61,0.59,15.01,8.0,0.0,0.239,3987.4107284388997,155.69741227797346
CN,Lanzhou,Line 1,Line 1 Phase 1,,2019.0,0.0,25.9,1.0,25.9,20.0,0.0,0.238,5620.960936004099,217.025518764637
CN,Lanzhou,Line 4,Line 4 Phase 1,2019.0,,0.0,26.8,0.6,16.0,11.0,0.0,0.238,4839.767636763319,180.5883446553477
CN,Lanzhou,Line 2,Line 2 Phase 1,2021.0,,0.0,9.6,1.0,9.6,9.0,0.0,0.239,2408.0195257039522,250.83536726082838
CN,Luoyang,Line 2,Line 2,2022.0,,0.0,18.216,1.0,18.216,15.0,0.0,0.239000000000001,3986.1887599711567,218.82898330979117
CN,Nanchang,Phase 1,Phase 1 Expansion (Line 1 and 2),2009.0,2016.0,0.0,50.6,1.0,50.6,50.0,0.0,0.273,9798.199866241412,193.6403135620832
CN,Nanchang,Line 2,Line 2 Western Extension,2015.0,2018.0,0.0,8.5,1.0,8.5,7.0,0.0,0.258,1303.49108241181,153.35189204844826
CN,Nanchang,Line 4,Line 4 Phase 1,2016.0,2021.0,0.0,38.2,0.8429319372,32.2,29.0,0.0,0.258,9502.549493918157,248.75784015492556
CN,Nanchang,Line 1,Line 1 Eastern Extension,2018.0,2021.0,0.0,4.1,1.0,4.1,2.0,0.0,0.258,676.6213252213977,165.0295915174141
CN,Nanchang,Line 3,Line 3,,2021.0,0.0,28.5,1.0,28.5,22.0,0.0,0.239,6005.8049487618555,210.72999820217038
CN,Nanchang,Line 1,Line 1 North Extension,2021.0,,0.0,16.973,0.8,13.528,8.0,0.0,0.239000000000001,2779.166285190254,163.7404280439671
CN,Nanchang,Line 2,Line 2 Eastern Extension,2021.0,,0.0,10.42,1.0,10.42,9.0,0.0,0.239,2768.416198021921,265.6829364704339
CN,Nanjing,Line 1,Line 1 Phase 1,2000.0,2005.0,0.0,21.72,0.6597605893,14.33,16.0,0.0,0.367,5519.848368176539,254.13666520149815
CN,Nanjing,Line S8,Line S8 Phase 2,2012.0,2014.0,0.0,45.2,0.27,12.2,17.0,0.0,0.239000000000001,3864.387584832285,85.49530054938684
CN,Nanjing,Line 4,Line 4 Phase 1,2004.0,2015.0,0.0,43.9,0.95,41.7,,0.0,0.3,8413.484343471402,191.65112399707067
CN,Nanjing,Line 3,Line 3 Phase 3,2015.0,2017.0,0.0,6.6,1.0,6.6,2.0,0.0,0.258,1117.7518950961323,169.35634774183825
CN,Nanjing,Line 9,Line 9 Line 5,2016.0,2020.0,0.0,19.677,1.0,19.677,16.0,0.0,0.237,6111.16156658317,310.5738459411074
CN,Nanjing,Line 2,Line 2 Western Extension,2017.0,2020.0,0.0,5.6,1.0,5.6,4.0,0.0,0.258,1419.5780744841088,253.49608472930515
CN,Nanjing,Line S8,Line S8 Southern Extension,2017.0,2020.0,0.0,2.5,1.0,2.5,2.0,0.0,0.251,545.2242043857054,218.08968175428217
CN,Nanjing,Line 11,Line 11 Phase 1,2018.0,2021.0,0.0,27.0,0.95,25.6,20.0,0.0,0.239,5919.969792086968,219.25814044766548
CN,Nanjing,Line S4 Nanjing-Chuzhou,Line S4 Nanjing-Chuzhou Phase 1 (Chuzhou Section),2018.0,2022.0,0.0,32.95,0.0,0.0,6.0,0.0,0.273,3356.408357751946,101.86368308807118
